company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
facebook ticketing system,Getting event Ticket Easily!,Md Abdul B.,CEO,,Used the software for: 1-2 years,NO,Source: Capterra,"Apr 21, 2018",5,5,5,5,5,10.0,,"Pros: Set up an event for any audience like friends, family and many more clients. Anybody can collect event ticket from this facebook ticketing systems.","Cons: The easy way to create an event and add ticketing system for your event. Easy to show your friends, family and all the customers. Also, everybody getting informed from here and also collect the ticket.",Overall: Now-a-days social media marketing is the strong media for marketing any event. this is the perfect platform for making your event ticket visible and sale to all.,
facebook ticketing system,"Pretty Good, Always Room for Improvement",Kirsten R.,Realtor,"Real Estate, 11-50 employees",Used the software for: 1-2 years,NO,Source: Capterra,"Jul 02, 2018",5,4,4,5,5,9.0,,Pros: I love how easily it attracts people already using facebook into finding my event. It definitely is great at getting attention and remind people of upcoming events. I like that it gives me a rough idea how much interest an event is getting.,"Cons: It would be nice if the interested in going actually linked up to the ticketing platform, but at least we are able to get a general idea for attendance for our events.",Overall: Ticketing with ease,
facebook ticketing system,Easy to book tickets for events near us.,praveen v.,software developer,"Information Technology and Services, 51-200 employees",Used the software for: Less than 6 months,NGC,Source: Capterra,"Mar 28, 2018",4,5,4,4,4,9.0,,"Pros: 1.It helps customers and audience to buy tickets easily and also it is secure

2.No need to stand in queue and its easy for us and also we can search for nearby events and also we can know how many people from facebook are interested in attending that event",Cons: 1.I have not been through any difficulties while booking tickets from facebook ticketing system.I wish they give quick response to the customers if they have any queries,Overall: Ticketing with ease,
facebook ticketing system,NOT VERY GOOD,Verified Reviewer,nan,"Hospital & Health Care, 1-10 employees",Source: Capterra,NGC,nan,"May 17, 2019",1,1,1,1,nan,nan,,Pros: that you can use this privately so no one cant tell you made the complaint,"Cons: they dont do anything when you write to them,you cant explain in detail whats going on with your ticket",Overall: Ticketing with ease,
facebook ticketing system,Customer service sucks,Tania R.,,,,nan,Source: Capterra,"Feb 11, 2017",2,4,4,2,1,2.0,,Pros: I like the fact that you can stay connected with family and friends all over the world.,Cons: If you need a response good luck you're waiting forever!,Overall: In terms of customer service when it comes to Facebook it sucks. If you need a response good luck you're waiting sometimes months at a time. Definitely not even worth writing to them because by the time you've got your answer it's not even worth it anymore.,Recommendations to other buyers: No
facebook ticketing system,Appreciative of the Facebook Ticketing system,Shannon W.,Research Intern,"Education Management, 501-1000 employees",Used the software for: Less than 6 months,NGC,Source: Capterra,"Oct 09, 2018",5,5,4,4,5,9.0,,Pros: Helped me handle a large amount of requirements and made it so I saved lots of time and avoided missing tasks.,Cons: I do not have any things that I did not like about this software.,Overall: Really great experience.,Recommendations to other buyers: No
facebook ticketing system,"Good, there is Always Room for Improvement",Juan R.,Manager,,Used the software for: Less than 6 months,NGC,Source: Capterra,"Jul 05, 2018",4,5,4,5,nan,nan,,Pros: I like how easy is to attract people that already use facebook into finding events. Is great at getting attention and remind users of future events. I like that it gives me an idea of how much interest an event is getting.,"Cons: It would be better if the ones interested in going can actually linked up to the ticketing platform, but at least we are able to get an idea for attendance for our events.",Overall: Really great experience.,Recommendations to other buyers: No
