company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
ticketsource,New user of the Ticket Source system,Alison W.,,,,NO,Source: Capterra,12-Jan-17,5,4,4,5,5,10,"Comments: We had to set up our own system in late summer following the closure of our previous outlet and as Ticket Source had come highly recommended to us by a smaller user we decided to try it. The system is easy to set up, even for the complicated ticketing systems we need for some venues. Once in place, it is easy to adjust and, more importantly, our end users find it easy to use. The reports are excellent and one key area we have never been able to look at in detail before is our marketing. We are now able to target the right places for marketing our events to ensure maximum take-up of tickets. Overall we are very happy with our first few months of using Ticket Source",,,,
ticketsource,Outdoor event using downloaded database and scanner,Derek L.,,,,NO,Source: Capterra,11-Jan-17,5,5,4,5,5,10,"Comments: The event sold around 200 tickets with differing values.We knew that the customers would all arrive in a short period of time so we opted to buy a scanner and use this linked to a downloaded customer database on a laptop.The system worked fine for 10mins then started to freeze but with a reset worked again. This occurred several times. I'm not sure if it was the laptop or scanner/connection that was at fault but without doing another event will not know.That aside, the system worked well and the ticket that I made purposely void was met with a loud refusal bleep.Overall the system is good and kept a large sum of money in electronic transfers rather than cash on the gate.Recommended.",,,,
ticketsource,Worked well for 3 years now,Ian S.,,,,NO,Source: Capterra,11-Jan-17,5,4,4,5,5,10,"Comments: Very happy with the software and the enhancements that come out from time to time. Also appreciate the ability to be able to influence new features using the feedback sections.Web based so there are the usual problems that that technology creates - occasional speed issues (could be anywhere in the loop) and print difficulties; but balances by no hassle looking after the system and no hassle updates.Brilliant support people on the few occasions I have needed it. No thought of going elsewhere.",,,,
ticketsource,Have dropped my old ticket provider for Ticket Source,Cheryl M.,Events Co-ordinator,,,NO,Source: Capterra,8-Oct-14,5,5,4,5,5,10,"Comments: Having battled for a two year period selling my tickets on an international ticketing website I decided that the options for our customers and the time it took to upload our events was not sustainable.We had used ticketsource for one of our very large events and it worked well and we have now migrated all of our ticketed events on to ticketsource. The system is intuitive, straightforward, easy to use, understand, based in the UK and the costs are cheaper for the customer too.I have been contacted by a few other ticket sites to try their product but the service and product offered by ticketsource delivers exactly what we need and the customer can use easily.",,,,
ticketsource,Market Theatre,Michael E.,Chairman,,,NO,Source: Capterra,8-Oct-14,5,5,4,4,5,10,Comments: We have no ticket office other than very limited hours in the Council Office in Ledbury. The majority of our tickets are sold through TicketSource and some through a mobile phone that we man ourselves. We have had very few problems and the helpline has been very helpful when we have. The TicketSource website is not mobile phone friendly and we have asked if a mobile phone App could be developed but I understand there are no plans to do so at present. Otherwise it works extremely well for us.,,,,
ticketsource,Belvoir Players,Shane J.,,,,NO,Source: Capterra,17-Jan-17,4,5,3,4,5,10,"Comments: The one function that i believe is missing from the package is the ability to communicate effectively with our customers. We should be able to use the system and the data that is collected to communicate effectively with our audiences . Overall the booking system works effectively , the only issue we have is trying to to check the seats that are allocated by name and it is very difficult and long winded to establish this",,,,
ticketsource,"Convenient, Useful, Easy to use.",Will H.,Cheif Executive and Artistic Director,,Used the software for: Less than 6 months,NO,Source: Capterra,4-May-17,4,4,4,3,5,10,,"Pros: Useful reporting, quick and easy booking features and settings are easy to amend and use. Useful add ons such as wristbands and E-tickets, which is very helpful.","Cons: Not much in the way of 'cons'. I wish there was a summary sales report that broke the information down in one swift form. Including : Open Tickets, Sold, Comps, Unpaid.",,
ticketsource,Easy to use and great for publicity!,Rachel D.,Treasurer,,,NO,Source: Capterra,9-Oct-14,5,5,4,5,5,10,"Comments: We love TicketSource at WTG. It's easy to use, we can put on special offers easily, we get comprehensive reports and we can set up events using our template in minutes.The charges are at a brilliantly competitive rate, we've found ticketsource to be very helpful with event problems (on our end!) and we love that there's no charge on our cash/cheque sales!We are also a fan of the publicity functions e.g. we can drop all email adresses (of those who have agreed to receive marketing) into a CSV file and it takes just seconds to mailshot an email publicising our latest event or sale!All in all I don't think we will ever use another company now. Thankyou TicketSource!",,,,
ticketsource,excellent!,chloe n.,student,"Fund-Raising, Self-employed",Review is based on a free trial,NO,Source: Capterra,1-Nov-18,4,4,4,5,5,10,,Pros: very easy to set up! Even for me who is a bit of a technophobe,"Cons: Not always obvious how to change settings. Eg. I wanted to change the time that sales could run to - couldn't find it on the evening of my event, so may have lost sales.","Overall: Excellent customer service, great product.",
ticketsource,Amazing easy and cost-effective,Anthony L.,,,,NO,Source: Capterra,11-Jan-17,5,5,5,1,5,10,Comments: All I can say is this is the best service I have ever come across in and I have tried a few for it's easiness it's cost effectiveness and the ability to call upon somebody instantly for the one little problem that I did have amazing. Hundred percent five stars. If you are choosing between another company and this one - you will end up coming to this one eventually because it is just too good so you might as well just come here straight away.,,,,
ticketsource,A great Product,David F.,Secretary,,,NO,Source: Capterra,13-Nov-14,5,4,5,5,5,10,"Comments: We are a small An-Dram group based in East Hamphire We have used Ticket Source now for a number of recent productions; they provide exactly the service we require and we have had problems with them. Our audiences, when booking direct, get a seamless professional service and our administrators all find the website easy to use. The reporting system is excellent and having a day to day review of ticket sales enables us to target our marketing where it is needed.One minor quibble: The ""Next"" , ""Print tickets""and ""Back"" buttons are placed at the bottom of each page and can be missed. We had two customers who didn't realise they had to print their own tickets and we had rather fussed 'phone calls.",,,,
ticketsource,Great for independent events,Imoteda A.,,,,NO,Source: Capterra,16-Jan-17,4,4,4,5,5,10,"Comments: Used the site to sell tickets for my one time event in London. It was easy to use and the customer service was great. The fees are lower than other similar sites,The only thing I would have wanted would be a choice to make the event site a lot more attractive. I will be repeating the event this year and will definitely be using this site again!",,,,
ticketsource,Ticket Source,Joshua N.,,,,NO,Source: Capterra,11-Jan-17,4,4,4,5,5,10,"Comments: Easy to use, very user friendly. Helpdesk are really responsive and can soon diagnose any issues you may be having. Would be useful to have better options when doing refunds or exchanges, i.e. being able to exchange different ticket types over various dates and refunding the difference...",,,,
ticketsource,Straightforward Box Office,John L.,Treasurer,,,NO,Source: Capterra,8-Oct-14,5,5,4,5,5,10,"Comments: We are a small amateur theatre company and stage one open air production per year. In the past we only ever offered the option of paying on the door, but we started using TicketSource a few years ago and since then we have seen advance ticket sales grow year on year.",,,,
ticketsource,Brilliant Support for volunteer users,Cathy H.,Box Office Manager,,,NO,Source: Capterra,4-Apr-15,5,5,4,5,5,10,"Comments: We are a small theatre, entirely run by volunteers, with 80 seats for 50+ events a year. I am very happy to give help and advice to any potential customers with similar theatres. We transferred to Ticketsource 3 years ago and have seen our online ticket sales increase to about 60%. This saves a huge amount of volunteer time in dealing with ticket sales. The support has been first class with prompt replies to emails and fixes for most of the problems and individual requests eg for membership numbers to be included. We started off using the system for free for 3 months, getting used to the system with our volunteers, before going online for customers once we were used to it and then paying the booking fees. Look us up on Google if you want to contact me via the Box Office email.",,,,
