company,title,name,position,industry,usage,paid_status,source,date,total,ease,feature,support,value,recommend,comments,pros,cons,overall,recommendations to other buyers
ticketsource,Must-have Ticketing Software for Small Venues,Luke B.,House Manager,,,NGC,Source: Capterra,7-Oct-14,5,5,3,5,5,10,"Comments: When we decided to open up the then Writhlington School theatre as a small professional venue, a robust box office system was essential. The venue was run by one full time and one part time staff, so minimising effort was very important for us. TicketSource makes everything so easy. It took less than an hour for us to set up the system, from scratch, including seating plans, venue details box office front-end and Facebook integration. Customer support from TicketSource has also been first rate. One one occasion, I had to phone them an hour before a show went up and they quickly resolved my problem over the phone.",,,,
ticketsource,I Love TicketSource,Omar P.,CEO/Founder,,,NGC,Source: Capterra,11-Oct-14,4,3,3,5,5,10,"Comments: I use ticket source for 90% of my events. I found them via The Pumphouse Children's Theatre in Watford UK, and have been singing there praises ever since.",,,,
ticketsource,Resolving trouble tickets was never so easy,Vijay K.,Lead Recruiter,"Computer Software, 51-200 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,4-Apr-18,5,5,5,5,5,10,,Pros: they have a very systematic solution and addressing the user data for the ticket collected and resolve it with the very fastest and reliable way possible.,Cons: Submitting the ticket in the system is a little slow if they have a huge queue. i suggest an improvement there if they can.,,
ticketsource,"Ticket software fine, customer service seriously lacking",Nicholas F.,Founder,,,NGC,Source: Capterra,8-Oct-14,4,4,5,1,5,10,"Comments: Ticket software was fine, analytics were useful, not particularly stand out amongst competition, what did make ticketsource stand out was the availability of ticket scanning hardware, unfortunately hardware did not work (most importantly incorrect charger for base station laptop), causing a great deal of extra work during the event and cost of temporary universal charger to get the thing to work. Faultiness of charger then completely denied by customer service, will not be using ticketsource again, is ridiculous after they made around å£1300 from the event.",,,,
ticketsource,great overall but room for improvements,amber c.,,,,NGC,Source: Capterra,11-Jan-17,4,4,4,4,5,10,"Comments: Great back end functions etc but interface is a little ugly especially on mobile devices. Wish could bulk update events, i.e. if change general terms and conditions, it's very painstaking to indiv modify each upcoming event. We really use the public facing ticket remaining function, it would be great if this was visible on mobile view and not just desktop.",,,,
ticketsource,Hassle free experience from start to finish.,Phil Y.,Director of Performance,"Education Management, 201-500 employees",Used the software for: Less than 6 months,NGC,Source: Capterra,17-Jul-17,5,4,5,5,5,10,,"Pros: Once set up, this software takes most of the trouble associate with ticketing away. The interface is fairly self explanatory and if things do get confusing the help site is both intuitive and informative.There was no claim process, as soon as the event was over funds were credited to our accounts and there was a full detailed report regarding every transaction.","Cons: The initial planning is a little long winded. I would like the ability to customise the seating plan layout further. There's nothing wrong with the current set up, I'd just like to be able to configure it to look like my theatre.",Overall: Took away the hassle of ticketing almost completely.,
ticketsource,Very good ticket selling software,Sharad G.,Team Lead,"Computer Software, 51-200 employees",Used the software for: 1-2 years,NGC,Source: Software Advice,21-Mar-18,5,5,5,5,5,10,,Pros: they are very user friendly and we have always got positive remarks and cheers from our customers. Thanks to TS,"Cons: There is no box office download option, everything needs to be cloud based/internet usage. but they are user friendly!",,
ticketsource,Great for customers and for us!,Shirley J.,,,,NGC,Source: Capterra,11-Jan-17,5,4,4,5,5,10,,"Pros: We've been using TicketSource for many years now and the customer service team are exceptionally good at getting you started, helping to iron out kinks and give support when needed. However, the system is really intuitive and easy to use. They have added extra functions over the years and it feels very bespoke given how it can be adapted to different venues and events. I feel it is by far the most friendly and easy to use system out there.",Cons: The only thing (as a charity) we don't like is that any donations also get a surcharge as it feels like a heavy penalty on people's generosity over and above what they pay for their ticket fee.,,
ticketsource,Live Music!,Ian S.,,,,NGC,Source: Capterra,11-Jan-17,5,5,4,5,5,10,"Comments: I've been using Ticketsource for nearly four years with a Live music project in the Yorkshire Dales. the system allows multiple venues to be stored so setting up a gig is as simple as copy event and change the band name. I use a bar code scanner at event which makes entry easy and looks awesome. most of my guests just use the home printed tickets and the system alerts if someone tries to cheat. Support is great, but hardly had had to use it. it works best with wifi access at the venues but can be ran off line if down loaded once online ticket sales close. A great advantage it that cash sales pre event can be entered free of charge for those guests without internet. The only disadvantage is the sales payment is not made until the Wednesday after a weekend event which effects cash flows if you have a expensive band to pay on the night. In conclusion its a fab system which is easy to use and sell tickets online, hopefully I will be using Ticketsource for years to come.",,,,
ticketsource,A great ticketing company!,Rihanon H.,,,,NGC,Source: Capterra,12-Jan-17,5,5,5,5,5,10,"Comments: This is the second time we have used TicketSource and this time round it has been great! Last year we had a couple of problems that didn't help the way we handled our tickets but we went back with ways of how they could improve and their technical team worked together to help us. With their help we were able to sell our tickets with no problems at all. The back of house system worked really well for us, as a company we sell lots of different ticket types and its important to be able to pull off reports, check customers details and doing this with TicketSource was very easy. If we had any questions or were struggling to set up the event the customer support was brilliant and very helpful! As we are a seasonal event we only use TicketSource for a certain amount of time but we will certainly be returning to use them again. Highly recommend!",,,,
ticketsource,General review,hannah t.,,,,NGC,Source: Capterra,12-Jan-17,4,3,3,5,5,10,"Comments: The customer support was great, I especially liked the fact the team could view how I had set up our event page and provide step by step advice. The FAQ's on the website were helpful too.",,,,
ticketsource,Excellent resource for ticket selling,Christine R.,Secretary,,,NGC,Source: Capterra,8-Oct-14,5,3,3,5,5,10,"Comments: My amateur dramatic society have no need to look elsewhere in order to sell tickets for our annual pantomime. Should we have any questions or queries there is someone to come to our aid either by phone, online chat or email. The customer service personnel are very patient and helpful.As someone who has limited understanding of technical knowhow I can get frustrated when trying to follow tutorials as there can be points that look simple enough but I get myself into difficulties. I seem to find things can't be completed as easily as TicketSource would think. I am someone who has to to have every move clearly explained and not assumed we know what to do - hence for me 3 Stars.",,,,
